"Name","BSNR","Admin Email","Allgemeinen Chat aktivieren","Test account","Using video call","Total Active users","Doctor use video call","Total patients","Total Requests","Total questionnares","Care provider Type","Status","Created date"
"phong+hzv_e1749532470011","","phong+hzv_e1749532470011@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","10.06.2025"
"phong+hzv_b1749531356041","","phong+hzv_b1749531356041@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","10.06.2025"
"phong+hzv_a1749530273805","","phong+hzv_a1749530273805@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","10.06.2025"
"nhien+bfb1749455996171","","nhien+bfb1749455996171@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","09.06.2025"
"nhien+medication1749450135016","","nhien+medication1749450135016@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","09.06.2025"
"phong+521749443970341","","phong+521749443970341@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","09.06.2025"
"phong+521749443814668","","phong+521749443814668@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","09.06.2025"
"Dr. med. Heribert Topp-Glücklich","","vy.pham+0306@silentium.io","true","false","true","2","1","2","32","5","Praxis","Unlimited","03.06.2025"
"MVZBoeblingen","","mvz@pro.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","26.05.2025"
"Psychotherapeutische Praxis Julia Röhrle","","roehrle@garrio.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.05.2025"
"Südstadtpraxis Dr. Schlindwein & Kollegen","","drschlindwein@garrio.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","12.05.2025"
"huy.nguyen+1205","","huy.nguyen+1205@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","12.05.2025"
"Kilian Parigger DEMO","","kilian.parigger@health-tech-innovators.de","true","false","true","1","0","0","1","4","Andere","Unlimited","09.05.2025"
"phong+521746766565265","","phong+521746766565265@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","09.05.2025"
"phong+521746763045420","","phong+521746763045420@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","09.05.2025"
"phong+521746703045999","","phong+521746703045999@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","08.05.2025"
"phong+521746702721693","","phong+521746702721693@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","08.05.2025"
"phong+521746701974893","","phong+521746701974893@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","08.05.2025"
"Praxis Dr. med. Heribert Topp-Glücklich Dev Updated","","huy.pham+v1@silentium.io","true","true","true","1","0","0","0","4","Praxis","Unlimited","08.05.2025"
"DevTestAuto_1","","devtestauto+1@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","06.05.2025"
"Praxis Dr. med. Heribert Topp-Glücklich Phong Updated","","phong+123@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","05.05.2025"
"Praxis für Psychotherapie","","vt.therapeut@gmail.com","true","false","true","0","0","0","0","4","Praxis","Unlimited","23.04.2025"
"Glücklich","","vy.pham+care@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","18.04.2025"
"Venus Care","","venuscare@gmail.com","true","false","true","2","0","0","0","4","Praxis","Unlimited","17.04.2025"
"vy.pham+testaccountstaging","","vy.pham+testaccountstaging@silentium.io","true","true","true","1","0","3","7","4","Praxis","Unlimited","15.04.2025"
"dev+v1@garrio.local","","dev+v1@garrio.local","true","false","true","0","0","0","0","4","Praxis","Unlimited","15.04.2025"
"nhien+medication1744702284761","","nhien+medication1744702284761@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","15.04.2025"
"Praxis für Psychotherapie Demo","","praxis@pycho.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.04.2025"
"CB Matrix Lost Messages Checker","","christian.bister+cb-matrix-lost-messages-checker@medi-verbund.de","false","false","true","1","0","2","10","4","Andere","Unlimited","09.04.2025"
"Praxis Staging","","admin.staging@gariro.dev","false","false","false","0","0","0","0","4","Praxis","Unlimited","08.04.2025"
"tin-5-5","","tin.pham+1@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.04.2025"
"Ärztehaus Zetel","","hausarzt-focken@posteo.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","03.04.2025"
"vy.pham+02041","","vy.pham+02041@silentium.io","true","false","true","2","1","4","1","4","Praxis","Unlimited","02.04.2025"
"vy.pham+0204","","vy.pham+0204@silentium.io","true","false","true","2","0","0","0","4","Praxis","Unlimited","02.04.2025"
"Tälespraxen Dr. med. Hansjörg Winker","","drwinker@garrio.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","01.04.2025"
"Klein Kollegen","","kleinundkollegen@garrio.de","true","true","true","0","0","0","0","4","Facharztpraxis","Unlimited","31.03.2025"
"tin-1-4","","tin.pham@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","31.03.2025"
"nhien+medication1743404556784","","nhien+medication1743404556784@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","31.03.2025"
"nhien+31032025","","nhien+31032025@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","31.03.2025"
"demo","","klein&kollegen@demo.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","29.03.2025"
"PraxisPneumo","","pneumologie@service.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","28.03.2025"
"Dew","","dew@demo.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","28.03.2025"
"Demo Praxis Spifa 2","","garrio@garrio.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","27.03.2025"
"huy.nguyen+0326","","huy.nguyen+0326@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","26.03.2025"
"huy.nguyen+2603","","huy.nguyen+2603@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","26.03.2025"
"nhien+2603","","nhien+2603@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","26.03.2025"
"phong+521742967321975","","phong+521742967321975@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","26.03.2025"
"phong+521742966507925","","phong+521742966507925@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","26.03.2025"
"vy.pham+2603","","vy.pham+2603@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","26.03.2025"
"MVZDitzingen","","test@pro.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","25.03.2025"
"MVZ Ditzingen","","am@testpraxis.de","true","true","true","0","0","0","0","4","MVZ","Unlimited","25.03.2025"
"Demo Praxis Spifa","","demo@garrio.de","true","true","true","0","0","0","0","4","Praxis","Unlimited","25.03.2025"
"huy.nguyen+2503","","huy.nguyen+2503@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","25.03.2025"
"Tri Staging Praxis","521111120","tri+fav@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","25.03.2025"
"TriStagingPraxis","521111110","tri@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","25.03.2025"
"25030001","","an.vo+123@10silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","25.03.2025"
"FaV-PNG","","phong+1138@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","25.03.2025"
"phong+bfb1742873659354","","phong+bfb1742873659354@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","25.03.2025"
"AnFAV","","an.vo+123@1silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","25.03.2025"
"Sandra Schulung 1803","","sandra.schulung.1803@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","18.03.2025"
"Praxis für Allgemeinmedizin, Facharztpraxis","","shared@tam.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","17.03.2025"
"Ambulante Pneumologie Demonstration","","pneumologie@demo.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","12.03.2025"
"Ambulante Pneumologie Demo","612209100","admin-pneumologie@garrio.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","12.03.2025"
"vy.pham+1103","","vy.pham+1103@silentium.io","true","false","true","1","1","2","1","4","Praxis","Unlimited","11.03.2025"
"danh+1003","123182733","danh+1003@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","10.03.2025"
"Praxis für Allgemeinmedizin und Psychotherapie","","tam@demo.de","true","false","true","0","0","0","0","4","MVZ","Unlimited","06.03.2025"
"Sandra Demo 0503","","sandrademo0503@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","06.03.2025"
"Passwort ändern Test","","christian.bister+passwort-aendern-test@medi-verbund.de","true","false","true","1","0","0","0","4","Andere","Unlimited","05.03.2025"
"vy.pham+05031","","vy.pham+05031@silentium.io","true","false","true","1","1","1","1","4","Praxis","Unlimited","05.03.2025"
"vy.pham+0503","","vy.pham+0503@silentium.io","true","false","true","1","1","0","0","4","MVZ","Unlimited","05.03.2025"
"phong+eau1741084694811","","phong+eau1741084694811@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","04.03.2025"
"huy.nguyen+0303","","huy.nguyen+0303@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","03.03.2025"
"vy.pham+0303","","vy.pham+0303@silentium.io","true","false","true","2","1","5","9","6","MVZ","Unlimited","03.03.2025"
"phong+521740710842503","","phong+521740710842503@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","28.02.2025"
"huy.nguyen+0111","","huy.nguyen+0111@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","27.02.2025"
"Security Key Check","","christian.bister+security-key-check@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","27.02.2025"
"huy.nguyen+0227","","huy.nguyen+0227@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","27.02.2025"
"nhien+medication1740640381851","","nhien+medication1740640381851@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","27.02.2025"
"nhien.pham+27012","","nhien.pham+27012@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","27.02.2025"
"nhien+2702","","nhien+2702@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","27.02.2025"
"phong+521740638555455","","phong+521740638555455@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","27.02.2025"
"phong+521740638046253","","phong+521740638046253@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","27.02.2025"
"nhien+medication1740637857585","","nhien+medication1740637857585@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","27.02.2025"
"Dr. Winker xBDT Testpraxis","","xbdt@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","24.02.2025"
"Sandra Demopraxis","","test@test.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","24.02.2025"
"Sandra","","sandra.schiffer@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","20.02.2025"
"new practice","","vy.pham+newpractice@silentium.io","true","true","true","1","0","4","12","5","Kinder-und Jugendpsychotherapiepraxis","Unlimited","17.02.2025"
"Demopraxis2","","tam@mediverbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.02.2025"
"Phong_test_14-02","","phong+1402@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.02.2025"
"Demopraxis","","tam@mediverbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.02.2025"
"Testpraxis_Dr_Winker","","Testpraxis_Dr_Winker@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.02.2025"
"Test_migration_14_02","","Test_migration_14_02@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.02.2025"
"Matrix202501290949","","christian.bister+matrix202501290949@medi-verbund.de","true","false","true","2","0","0","0","4","Andere","Unlimited","29.01.2025"
"Matrix202501290948","","christian.bister+matrix202501290948@medi-verbund.de","true","false","true","2","0","1","0","4","Andere","Unlimited","29.01.2025"
"tam12345678","","tam@medi.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","20.01.2025"
"phong+1737347065622","","phong+1737347065622@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","20.01.2025"
"hiep+staging+20012025","","hiep.phan+staging+20jan@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","20.01.2025"
"nhien.pham+1737088456287","","nhien.pham+1737088456287@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","17.01.2025"
"phong+1737017079393","","phong+1737017079393@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.01.2025"
"phong+1737016765223","","phong+1737016765223@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.01.2025"
"nhien.pham+1737012597022","","nhien.pham+1737012597022@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.01.2025"
"vy.pham+1601","","vy.pham+1601@silentium.io","true","false","true","2","1","4","4","5","Praxis","Unlimited","16.01.2025"
"nhien.pham+1736995840062","","nhien.pham+1736995840062@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.01.2025"
"TAM_UAT_HZV_BW","522222200","tamara@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","15.01.2025"
"TAM_UAT","","tamara.weber@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Deactivated","15.01.2025"
"nhien.pham+1736911189340","","nhien.pham+1736911189340@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","15.01.2025"
"vy.pham+1736910277444","","vy.pham+1736910277444@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","15.01.2025"
"Praxis Dr. med. Heribert Topp-Glücklich","","phong+1736851135896@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.01.2025"
"vy.pham+1735554072956","","vy.pham+1735554072956@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","30.12.2024"
"vy.pham+1735274806543","","vy.pham+1735274806543@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","27.12.2024"
"vy.pham+1735274547663","","vy.pham+1735274547663@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","27.12.2024"
"vy.pham+1734950721007","","vy.pham+1734950721007@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","23.12.2024"
"vy.pham+2312pro","","vy.pham+2312prostg@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","23.12.2024"
"hiep stating 23Dec","","hiep.phan+staging+23dec@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","23.12.2024"
"vy.pham+2012stg","","vy.pham+2012stg@silentium.io","true","false","true","2","2","6","10","5","Krankenversicherung","Unlimited","20.12.2024"
"nhien.pham+1734595693535","","nhien.pham+1734595693535@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","19.12.2024"
"Test Neue Praxis","","valentina.lavorato+test-heue-praxis@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.12.2024"
"vy.pham+1733811960363","","vy.pham+1733811960363@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","10.12.2024"
"vy.pham+1012","","vy.pham+1012@silentium.io","true","false","true","3","2","4","3","4","Krankenversicherung","Unlimited","10.12.2024"
"vy.pham+0912","","vy.pham+0912@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","09.12.2024"
"huy.pham+staging-v1@silentium.io","","huy.pham+staging-v1@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","09.12.2024"
"vy.pham+06121","","vy.pham+06121@silentium.io","true","false","true","1","1","3","5","4","Praxis","Unlimited","06.12.2024"
"vy.pham+0612","","vy.pham+0612@silentium.io","true","false","true","1","1","1","0","4","Praxis","Unlimited","06.12.2024"
"DemoLeistungserbringer","","br.f@df.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","05.12.2024"
"Hiep staging 5dec","","hiep.phan+staging+5dec@silentium.io","true","false","true","2","0","0","0","4","Praxis","Unlimited","05.12.2024"
"Hiep 5Dec","","hiep.phan+5dec@silentium.io","true","false","true","2","0","0","0","4","Praxis","Unlimited","05.12.2024"
"nhien.pham+1733208418240","","nhien.pham+1733208418240@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","03.12.2024"
"nhien.pham+1733113809154","","nhien.pham+1733113809154@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","02.12.2024"
"nhien.pham+1732863463517","","nhien.pham+1732863463517@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","29.11.2024"
"nhien.pham+1732863124115","","nhien.pham+1732863124115@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","29.11.2024"
"nhien.pham+1732590565899","","nhien.pham+1732590565899@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","26.11.2024"
"vy.pham+25111stag","","vy.pham+25111stag@silentium.io","true","false","true","2","2","1","3","4","Praxis","Unlimited","25.11.2024"
"vy.pham+2511stag","","vy.pham+2511stag@sillentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","25.11.2024"
"Botnang Praxis","","admin@garrio.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","22.11.2024"
"Bao Care","","bao.care@gmail.com","true","false","true","1","0","5","3","4","Praxis","Unlimited","11.11.2024"
"nhien.pham+1730774757033","","nhien.pham+1730774757033@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","05.11.2024"
"Allgemeinarzt 04113","","vy.pham+04113@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.11.2024"
"Allgemeinarzt 04112","","vy.pham+04112@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.11.2024"
"nhien.pham+1730705644194","","nhien.pham+1730705644194@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.11.2024"
"Allgemeinarzt 0411","","vy.pham+0411@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.11.2024"
"vy.pham+1730702747282","","vy.pham+1730702747282@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.11.2024"
"vy.pham+1730702697311","","vy.pham+1730702697311@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.11.2024"
"nhien.pham+1730686973932","","nhien.pham+1730686973932@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.11.2024"
"nhien.pham+1730455681114","","nhien.pham+1730455681114@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","01.11.2024"
"Allgemeinarzt 3110","","vy.pham+3110@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","31.10.2024"
"Allgemeinarzt brave","","vy.pham+brave@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","31.10.2024"
"nhien.pham+1730276938129","","nhien.pham+1730276938129@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","30.10.2024"
"nhien.pham+1730262697454","","nhien.pham+1730262697454@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","30.10.2024"
"nhien.pham+1730189840069","","nhien.pham+1730189840069@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","29.10.2024"
"nhien.pham+1730169035038","","nhien.pham+1730169035038@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","29.10.2024"
"Allgemeinarzt 8","","vy.pham+2802@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","28.10.2024"
"nhien.pham+1730084096892","","nhien.pham+1730084096892@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","28.10.2024"
"vy.pham+1729851388200","","vy.pham+1729851388200@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","25.10.2024"
"Allgemeinarzt 7","","vy.pham+2510@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","25.10.2024"
"vy.pham+1729823551124","","vy.pham+1729823551124@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","25.10.2024"
"Allgemeinarzt 6","","vy.pham+24016@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","24.10.2024"
"Allgemeinarzt 5","","vy.pham+24102@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","24.10.2024"
"Allgemeinarzt 4","","vy.pham+24101@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","24.10.2024"
"Allgemeinarzt 3","","vy.pham+2410@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","24.10.2024"
"phong+1729591294435","","phong+1729591294435@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","22.10.2024"
